Title,Description,Tags
Managing versions,"Practitioner | Setup and Deployment

What is this skill?:

Managing versions involves keeping track of different prototype kit versions, updating dependencies safely, and understanding how to roll back if an update causes problems.

Why is it important?:

• Stability – Keep your prototype working reliably across updates

• Team consistency – Ensure everyone is using the same version

• Safe updates – Know how to update without breaking your prototype

• Access new features – Upgrade to get the latest components and fixes

Where to learn more:

• GOV.UK Prototype Kit: Updating the kit

• NPM: About semantic versioning","practitioner,setup-and-deployment,no-change"
Mobile responsive testing,"Working | Pages and Layouts

What is this skill?:

Mobile responsive testing involves checking your prototype works well on different screen sizes, particularly mobile phones. The GOV.UK Design System is mobile-first, but custom additions need testing.

Why is it important?:

• Real usage patterns – Many users access services on mobile devices

• Design system compliance – Verify GOV.UK components respond correctly

• Custom component testing – Check your additions work on small screens

• User research preparation – Some sessions may use mobile devices

Where to learn more:

• GOV.UK Design System: Layout

• Chrome DevTools: Device mode

• MDN: Responsive design","working,pages-and-layouts,no-change"
Multi-path journeys,"Expert | Pages and Layouts

What is this skill?:

Multi-path journeys involve designing complex user flows where different users take different routes through the service based on their circumstances, eligibility, or choices.

Why is it important?:

• Realistic services – Most services have multiple paths for different user types

• Efficient journeys – Skip irrelevant questions for each user

• Edge cases – Test all possible routes through the service

• User research – Understand how different users experience the service

Where to learn more:

• GOV.UK Prototype Kit: Branching

• GOV.UK Service Manual: Form structure","expert,pages-and-layouts,no-change"
Multi-user testing,"Expert | Data and Logic

What is this skill?:

Multi-user testing involves setting up your prototype to simulate scenarios where multiple users interact with the same case or application, such as an applicant and a caseworker viewing the same submission.

Why is it important?:

• Realistic scenarios – Many services involve multiple user types

• Role switching – Test both sides of a two-sided service

• Data consistency – Ensure both users see the same information

• Complex journeys – Test handoffs between different user types

Where to learn more:

• GOV.UK Service Manual: User roles

• Prototype Kit: Session data

• Testing two-sided services","expert,data-and-logic,no-change"
Navigation patterns,"Practitioner | Pages and Layouts

What is this skill?:

Navigation patterns involves implementing sidebars, footers, breadcrumbs, and other navigation elements that help users understand where they are and move through your service.

Why is it important?:

• User orientation – Help users understand their location in the service

• Efficient navigation – Allow users to jump to relevant sections

• Accessibility – Proper navigation landmarks help screen reader users

• Complex services – Essential for services with multiple sections or tasks

Where to learn more:

• GOV.UK Design System: Breadcrumbs

• GOV.UK Design System: Footer","practitioner,pages-and-layouts,no-change"
Node.js basics,"Working | Setup and Deployment

What is this skill?:

Node.js basics involves understanding that Node.js is the JavaScript runtime that powers the prototype kit. It runs the server that serves your prototype pages and processes your routes.

Why is it important?:

• Understand the foundation – Node.js is what makes the prototype kit work

• Install the right version – Different kit versions may require specific Node.js versions

• Debug server errors – Recognise when issues are Node.js related

• Extend functionality – Node.js knowledge enables more advanced prototyping

Where to learn more:

• GOV.UK Prototype Kit: Requirements

• Node.js official documentation","working,setup-and-deployment,no-change"
NPM packages,"Working | Setup and Deployment

What is this skill?:

NPM (Node Package Manager) packages are reusable code libraries that extend the functionality of your prototype. Understanding how to install, update, and manage these dependencies is crucial for maintaining your prototype kit.

Why is it important?:

• Access to powerful tools – NPM packages provide ready-made solutions for common problems

• Keep your kit updated – Understanding NPM helps you update the GOV.UK Frontend and other dependencies

• Troubleshoot installation issues – Many kit problems stem from NPM-related issues

• Extend functionality – Add new features to your prototype using community packages

Where to learn more:

• GOV.UK Prototype Kit: Updating the kit

• NPM documentation: Getting started","working,setup-and-deployment,no-change"
Nunjucks vs HTML components,"Working | Components and Patterns

What is this skill?:

Understanding Nunjucks vs HTML components means knowing when to use a Nunjucks macro (for dynamic, configurable components) versus plain HTML (for static, one-off content).

Why is it important?:

• Right tool for the job – Choose the appropriate approach for each situation

• Efficiency – Macros save time for repeated, dynamic components

• Simplicity – HTML is fine for simple, static content

• Maintenance – Understanding the difference helps when updating code

Where to learn more:

• GOV.UK Design System: Using Nunjucks

• GOV.UK Design System: Components","working,components-and-patterns,no-change"
Nunjucks vs HTML,"Working | Pages and Layouts

What is this skill?:

Understanding Nunjucks vs HTML means knowing when to use static HTML and when to use Nunjucks templating features like variables, loops, conditionals, and template inheritance to build dynamic pages.

Why is it important?:

• Dynamic content – Nunjucks lets you display different content based on user data

• Reduce repetition – Use template inheritance and includes to avoid duplicating code

• Cleaner pages – Conditionals and loops make complex pages easier to manage

• Design system integration – GOV.UK and NHS.UK macros are written in Nunjucks

Where to learn more:

• Nunjucks templating documentation

• GOV.UK Design System: Using Nunjucks macros","working,pages-and-layouts,no-change"
Passing variables to macros,"Practitioner | Components and Patterns

What is this skill?:

Passing variables to macros involves using session data or other variables to dynamically populate component fields, making forms pre-fill with user data or display personalised content.

Why is it important?:

• Pre-populated forms – Show users their previous answers when they return

• Dynamic content – Display different text based on user data

• Check answers pages – Pass all stored data to summary components

• Personalisation – Create tailored experiences for each user

Where to learn more:

• GOV.UK Prototype Kit: Pass data

• Nunjucks: Variables","practitioner,components-and-patterns,no-change"
Password protection,"Practitioner | Setup and Deployment

What is this skill?:

Password protection involves adding simple authentication to your deployed prototype to prevent public access. This is essential when your prototype contains sensitive design work or is hosted publicly.

Why is it important?:

• Confidentiality – Protect unreleased designs from public view

• Controlled access – Only share with intended testers and stakeholders

• Heroku requirement – Many teams require password protection before deployment

• Research integrity – Prevent participants from accessing the prototype early

Where to learn more:

• GOV.UK Prototype Kit: Password protection

• Heroku basic authentication

• Express.js basic auth middleware","practitioner,setup-and-deployment,no-change"
Pattern library management,"Expert | Components and Patterns

What is this skill?:

Pattern library management involves organizing, documenting, and maintaining a collection of custom components and patterns within a large prototype or across multiple prototypes.

Why is it important?:

• Discoverability – Team members can find and use existing patterns

• Consistency – Ensure patterns are used correctly across the project

• Maintenance – Keep track of what needs updating when requirements change

• Onboarding – Help new team members understand available components

Where to learn more:

• GOV.UK Design System: Community

• Atomic Design methodology","expert,components-and-patterns,no-change"
Previewing in local host,"Working | Pages and Layouts

What is this skill?:

Previewing in localhost involves navigating to your local server address (usually localhost:3000) in a browser to view and test your prototype as you develop it.

Why is it important?:

• Immediate feedback – See your changes as you make them

• Testing – Check that links, forms, and logic work correctly

• Debugging – Identify visual and functional issues early

• Development workflow – Essential for iterative prototyping

Where to learn more:

• GOV.UK Prototype Kit: Running the kit

• MDN Web Docs: What is a web server?","working,pages-and-layouts,no-change"
Print stylesheets,"Expert | Pages and Layouts

What is this skill?:

Print stylesheets involve creating CSS rules that apply when a user prints a page or saves it as PDF. This ensures important content is visible and unnecessary elements like navigation are hidden in the printed version.

Why is it important?:

• Accessibility – Users may need to print forms or reference materials

• Official documents – Some services require printable summaries or receipts

• User testing – Test if printed versions of pages meet user needs

• Professional output – Ensure printed pages look intentional, not broken

Where to learn more:

• GOV.UK Design System: Printing

• MDN: Print media queries

• CSS-Tricks: Print styles","expert,pages-and-layouts,no-change"
Prototype documentation,"Practitioner | Setup and Deployment

What is this skill?:

Prototype documentation involves writing clear README files and inline comments that explain how to run your prototype, what scenarios are available, and any special setup required.

Why is it important?:

• Team handover – Others can pick up your prototype without explanation

• Future you – Remember how things work when you return to a project

• Research preparation – Document scenarios for user researchers

• Stakeholder sharing – Include instructions for non-technical reviewers

Where to learn more:

• GitHub: About READMEs

• Make a README

• GOV.UK Technical documentation template","practitioner,setup-and-deployment,no-change"
Redirecting with logic,"Practitioner | Data and Logic

What is this skill?:

Redirecting with logic involves using routes to send users to different pages based on their form answers, enabling branching journeys and eligibility checks.

Why is it important?:

• Branching journeys – Send users down different paths based on answers

• Eligibility screening – Redirect ineligible users to appropriate pages

• Skip logic – Jump over irrelevant questions

• Dynamic experiences – Create personalised journeys

Where to learn more:

• GOV.UK Prototype Kit: Branching

• GOV.UK Prototype Kit: Create routes","practitioner,data-and-logic,no-change"
Restarting the kit,"Working | Setup and Deployment

What is this skill?:

Restarting the kit involves stopping and starting the prototype server, which is sometimes necessary after making changes to routes.js or installing new packages. Most view changes don't require a restart.

Why is it important?:

• Apply changes – Some changes only take effect after a restart

• Fix frozen states – Restart when the kit becomes unresponsive

• Clear caches – A restart can resolve unexpected behaviour

• Know when it's needed – Understand which changes require a restart and which don't

Where to learn more:

• GOV.UK Prototype Kit: Running the kit

• GOV.UK Prototype Kit: Create routes","working,setup-and-deployment,no-change"
Running the kit locally,"Working | Setup and Deployment

What is this skill?:

Running the kit locally involves using terminal commands to start the GOV.UK or NHS.UK prototype kit on your own machine. This creates a local web server that lets you view and test your prototype in a browser.

Why is it important?:

• Immediate feedback – See changes instantly as you develop without waiting for deployments

• Offline working – Continue prototyping without an internet connection

• Safe experimentation – Test ideas locally before sharing with stakeholders

• Essential first step – You cannot build prototypes without being able to run the kit

Where to learn more:

• GOV.UK Prototype Kit: Running the kit

• NHS Prototype Kit: Getting started","working,setup-and-deployment,no-change"
Sass compile errors,"Working | Setup and Deployment

What is this skill?:

Sass compile errors occur when the kit's stylesheet preprocessor encounters syntax issues or invalid code. Understanding how to read and fix these errors is essential for customising the appearance of your prototype.

Why is it important?:

• Keeps your prototype running – Sass errors will prevent the kit from compiling, blocking all development work

• Enables visual customisation – Once you can debug Sass, you can confidently add custom styles

• Speeds up troubleshooting – Recognising common error patterns helps you fix issues quickly

• Builds foundational CSS knowledge – Understanding Sass errors improves your overall front-end skills

Where to learn more:

• GOV.UK Prototype Kit: Using CSS

• Sass documentation: Syntax errors","working,setup-and-deployment,no-change"
Searching/Filtering lists,"Expert | Data and Logic

What is this skill?:

Searching and filtering lists involves implementing search functionality that filters displayed results based on user input, enabling address lookups, reference searches, and dynamic lists.

Why is it important?:

• Search testing – Test how users interact with search interfaces

• Address lookup – Simulate postcode or address finder patterns

• Reference finding – Look up records by reference number

• Dynamic results – Show filtered lists that update based on criteria

Where to learn more:

• GOV.UK Design System: Find a thing

• MDN: Array.filter()","expert,data-and-logic,no-change"
Setting up VS Code,"Working | Setup and Deployment

What is this skill?:

Setting up VS Code (Visual Studio Code) involves configuring the editor with helpful extensions and settings for prototyping work. This includes syntax highlighting for Nunjucks, code formatting, and integrated terminal access.

Why is it important?:

• Productivity – A well-configured editor speeds up your development workflow

• Error prevention – Syntax highlighting helps you spot mistakes early

• Consistency – Formatters ensure your code follows a consistent style

• Integrated workflow – Run terminal commands and edit files in one place

Where to learn more:

• VS Code download

• VS Code Nunjucks extension

• GOV.UK Prototype Kit: Requirements","working,setup-and-deployment,no-change"
Simulate errors,"Working | Pages and Layouts

What is this skill?:

Simulating errors involves creating error states, validation messages, and error summary pages in your prototype. This helps test how users respond to problems and ensures your service handles errors gracefully.

Why is it important?:

• Realistic testing – Users will encounter errors; test their reactions in research

• Accessible error handling – Practice implementing error summaries and inline messages correctly

• Design system compliance – Learn to use GOV.UK or NHS error patterns properly

• Complete journeys – Error states are a crucial part of any user journey

Where to learn more:

• GOV.UK Design System: Error message

• GOV.UK Design System: Error summary","working,pages-and-layouts,no-change"
Skip links and focus management,"Practitioner | Components and Patterns

What is this skill?:

Skip links allow keyboard users to bypass repeated navigation and jump to main content. Focus management ensures the keyboard focus moves to the right place after page changes or dynamic updates.

Why is it important?:

• Accessibility requirement – Skip links are essential for keyboard users

• Screen reader users – Saves time navigating past headers and menus

• Dynamic content – Focus must move appropriately after form submissions

• WCAG compliance – Required for accessibility standards

Where to learn more:

• GOV.UK Design System: Skip link

• W3C: Skip navigation links

• Managing focus for accessibility","practitioner,components-and-patterns,no-change"
Standard data filters,"Working | Data and Logic

What is this skill?:

Standard data filters are built-in Nunjucks functions like 'default', 'lower', 'upper', and 'trim' that transform data when displaying it in templates.

Why is it important?:

• Default values – Show placeholder text when data is missing

• Text formatting – Capitalise names or format strings consistently

• Data cleaning – Remove whitespace or standardise input

• Safe display – Handle missing or undefined values gracefully

Where to learn more:

• Nunjucks: Built-in filters

• GOV.UK Prototype Kit: Passing data","working,data-and-logic,no-change"
Standard GOV.UK components,"Working | Components and Patterns

What is this skill?:

Standard GOV.UK components are pre-built, accessible UI elements like buttons, radios, checkboxes, and text inputs that form the foundation of any government service prototype.

Why is it important?:

• Accessibility built-in – Components have been thoroughly tested for accessibility

• Consistency – Match the look and feel of live government services

• Speed – No need to build common elements from scratch

• Best practices – Components embody research-backed design decisions

Where to learn more:

• GOV.UK Design System: Components

• NHS digital service manual: Components","working,components-and-patterns,no-change"
Standard GOV.UK Page blocks,"Working | Pages and Layouts

What is this skill?:

Understanding standard GOV.UK page blocks means knowing about the 'content', 'beforeContent', and other named blocks in the page template that you can override to place content in specific areas.

Why is it important?:

• Correct placement – Put back links, breadcrumbs, and main content in the right places

• Design system compliance – Follow the expected page structure

• Flexibility – Override only the blocks you need to change

• Consistency – Ensures your pages match GOV.UK or NHS patterns

Where to learn more:

• GOV.UK Design System: Page template

• GOV.UK Prototype Kit: Templates and layouts","working,pages-and-layouts,no-change"
Storing user answers,"Working | Data and Logic

What is this skill?:

Storing user answers involves understanding how form data flows through your prototype. The 'name' attribute on form fields determines the key used in session storage, and this data persists across pages throughout the user's journey.

Why is it important?:

• Data flow – The name attribute determines how data is stored and retrieved

• Data persistence – User answers are remembered across multiple pages

• Form pre-filling – Correct names allow the kit to auto-fill forms with previous answers

• Dynamic content – Display previous answers in later pages

• Branching logic – Use stored data to determine which path users take

• Check answers pages – Show users a summary of all their responses

• Debugging – Mismatched names are a common source of bugs

Where to learn more:

• GOV.UK Prototype Kit: Storing data

• GOV.UK Prototype Kit: Pass data from page to page

• MDN Web Docs: Form input name attribute","working,data-and-logic,no-change"
Tables with data,"Working | Components and Patterns

What is this skill?:

Tables with data involves using the GOV.UK table component to display structured information, and understanding when tables are appropriate versus other presentation methods.

Why is it important?:

• Data presentation – Show comparisons, lists, or structured data clearly

• Accessibility – Proper table markup is essential for screen readers

• Responsive design – Tables need careful handling on mobile devices

• Appropriate use – Know when to use tables and when not to

Where to learn more:

• GOV.UK Design System: Table

• GOV.UK Design System: Summary list

• MDN: Table accessibility","working,components-and-patterns,no-change"
Terminal basics,"Working | Setup and Deployment

What is this skill?:

Terminal basics involves understanding how to use the command line interface to navigate folders, run commands, and interact with the prototype kit. This is essential for starting, stopping, and managing your prototype.

Why is it important?:

• Run the kit – The terminal is how you start and stop your prototype

• Install dependencies – NPM commands are run through the terminal

• Navigate your project – Move between folders and find files quickly

• Debug issues – Error messages appear in the terminal, helping you diagnose problems

Where to learn more:

• GOV.UK Prototype Kit: Terminal basics

• MDN Web Docs: Command line crash course","working,setup-and-deployment,no-change"
Terminal shortcuts,"Practitioner | Setup and Deployment

What is this skill?:

Terminal shortcuts are keyboard commands that speed up your workflow, such as using the up arrow to repeat previous commands, Ctrl+C to stop processes, and tab completion for file names.

Why is it important?:

• Work faster – Shortcuts significantly speed up common tasks

• Reduce errors – Tab completion prevents typos in file names

• Professional workflow – Efficient terminal use is a mark of an experienced developer

• Less frustration – Quick commands make the development experience smoother

Where to learn more:

• Terminal shortcuts cheat sheet

• MDN: Command line crash course","practitioner,setup-and-deployment,no-change"
Update notifications,"Working | Setup and Deployment

What is this skill?:

Update notifications appear in the terminal or browser when a new version of the prototype kit or GOV.UK Frontend is available. Understanding these helps you decide when and how to update.

Why is it important?:

• Stay current – Know when important updates are available

• Security patches – Updates often include security fixes

• New features – Access the latest components and improvements

• Plan updates – Decide whether to update now or wait until a convenient time

Where to learn more:

• GOV.UK Prototype Kit: Updating the kit

• GOV.UK Frontend releases","working,setup-and-deployment,no-change"
Updating the GOV.UK Frontend,"Expert | Components and Patterns

What is this skill?:

Updating the GOV.UK Frontend involves managing version upgrades of the core design system package, handling breaking changes, and ensuring your prototype continues to work after updates.

Why is it important?:

• Security fixes – Updates often include important security patches

• New components – Access the latest design system components

• Bug fixes – Benefit from fixes to existing component issues

• Accessibility improvements – Updates often include accessibility enhancements

Where to learn more:

• GOV.UK Prototype Kit: Updating

• GOV.UK Frontend releases","expert,components-and-patterns,no-change"
Use back link correctly,"Practitioner | Pages and Layouts

What is this skill?:

Using the back link correctly involves implementing browser-style back navigation that works reliably, understanding when to use JavaScript history vs explicit URLs.

Why is it important?:

• User expectation – Users expect back links to work like the browser back button

• Journey integrity – Incorrect back links can break user flows

• Accessibility – Back links must be keyboard accessible and properly labelled

• Design system compliance – GOV.UK and NHS patterns specify back link behaviour

Where to learn more:

• GOV.UK Design System: Back link

• NHS digital service manual: Back link","practitioner,pages-and-layouts,no-change"
Use macros for items,"Practitioner | Components and Patterns

What is this skill?:

Using macros for items involves implementing GOV.UK Frontend macros with data from loops to generate repeated elements like radio options, checkbox items, or summary list rows dynamically.

Why is it important?:

• Dynamic lists – Generate options from data rather than hard-coding

• Maintainability – Change data in one place to update everywhere

• Consistency – Each item uses the same component structure

• Efficiency – Quickly add or remove items by editing data

Where to learn more:

• GOV.UK Design System: Radios

• Nunjucks: For loops","practitioner,components-and-patterns,no-change"
User research handoff,"Practitioner | Pages and Layouts

What is this skill?:

User research handoff involves preparing your prototype for user research sessions. This includes creating clear starting points, resetting data between sessions, and documenting which journeys to test.

Why is it important?:

• Consistent testing – Every participant starts from the same point

• Researcher independence – Researchers can run sessions without developer support

• Clear scenarios – Document which paths to test and what data to use

• Clean data – Reset session data between participants

Where to learn more:

• GOV.UK Service Manual: User research

• GOV.UK Prototype Kit: Clear session data

• Nielsen Norman: Usability testing 101","practitioner,pages-and-layouts,no-change"
Using block content,"Practitioner | Pages and Layouts

What is this skill?:

Using block content involves advanced use of Nunjucks layout blocks to create custom page structures, such as adding content to the page head, before the main content, or in the footer.

Why is it important?:

• Full control – Access any part of the page template

• Custom layouts – Create non-standard page structures when needed

• Script injection – Add page-specific JavaScript or CSS

• Advanced patterns – Implement complex design requirements

Where to learn more:

• Nunjucks: Block

• GOV.UK Design System: Page template options","practitioner,pages-and-layouts,no-change"
Using browser DevTools,"Working | Setup and Deployment

What is this skill?:

Using browser DevTools involves inspecting HTML, CSS, and JavaScript in the browser to debug layout issues, test changes in real-time, and understand how your prototype renders. Essential for troubleshooting styling and layout problems.

Why is it important?:

• Real-time debugging – See exactly how the browser interprets your code

• CSS inspection – Find and fix styling issues quickly

• Console access – View JavaScript errors and debug data flow

• Network monitoring – Check if assets are loading correctly

Where to learn more:

• Chrome DevTools documentation

• Firefox Developer Tools

• MDN: What are browser developer tools?","working,setup-and-deployment,no-change"
Using checkboxes (arrays),"Practitioner | Data and Logic

What is this skill?:

Using checkboxes involves understanding that multiple selections are stored as arrays in session data, and knowing how to check if specific values are included.

Why is it important?:

• Multiple selections – Handle questions where users can select several options

• Array handling – Understand how to work with array data in Nunjucks

• Conditional logic – Check if a specific option was selected from many

• Summary pages – Display all selected options on check answers pages

Where to learn more:

• GOV.UK Design System: Checkboxes

• Nunjucks: Working with arrays","practitioner,data-and-logic,no-change"
Using data across pages,"Practitioner | Data and Logic

What is this skill?:

Using data across pages involves passing variables between pages using session storage, hidden fields, or URL parameters, and then rendering dynamic content based on that stored data.

Why is it important?:

• Journey continuity – Keep track of user input across multiple pages

• Form pre-population – Show previous answers when users go back

• Personalisation – Address users by name or reference their choices

• Contextual content – Show relevant information based on earlier answers

• Check answers pages – Display summaries of user input

• Confirmation details – Show submitted information on confirmation pages

• Conditional journeys – Use earlier answers to influence later pages

Where to learn more:

• GOV.UK Prototype Kit: Pass data from page to page

• GOV.UK Prototype Kit: Storing data

• GOV.UK Design System: Check answers","practitioner,data-and-logic,no-change"
Using external JSON files,"Expert | Data and Logic

What is this skill?:

Using external JSON files involves loading data from separate .json files into your prototype, enabling realistic datasets for testing search, lists, and data-driven features.

Why is it important?:

• Realistic data – Test with representative datasets

• Separation of concerns – Keep data separate from templates

• Easy updates – Modify data without changing code

• Large datasets – Handle more data than would be practical inline

Where to learn more:

• GOV.UK Prototype Kit: Using data

• Node.js: Reading JSON files","expert,data-and-logic,no-change"
Using the /index page,"Working | Pages and Layouts

What is this skill?:

Using the /index page involves organizing your prototype's landing page to provide clear navigation to different journeys, versions, or test scenarios within your prototype.

Why is it important?:

• Organization – Provides a central hub for all your prototype journeys

• User research – Facilitators can quickly navigate to the right starting point

• Version management – Link to different iterations or scenarios

• Documentation – Add notes about what each journey tests

Where to learn more:

• GOV.UK Prototype Kit: Create pages

• GOV.UK Prototype Kit: Folder structure","working,pages-and-layouts,no-change"
Validation logic,"Practitioner | Data and Logic

What is this skill?:

Validation logic involves checking whether users have entered required information correctly and displaying appropriate error messages when they haven't.

Why is it important?:

• Data quality – Ensure users provide necessary information

• User guidance – Help users understand what's required

• Error testing – Test how users respond to validation errors

• Realistic prototypes – Mimic real service behaviour

Where to learn more:

• GOV.UK Design System: Error message

• GOV.UK Design System: Error summary","practitioner,data-and-logic,no-change"
Viewing session data,"Working | Data and Logic

What is this skill?:

Viewing session data involves using the prototype admin panel (usually at /manage-prototype/clear-data) to inspect what data is currently stored in the session.

Why is it important?:

• Debugging – See exactly what data is stored when things aren't working

• Understanding flow – Check how data changes as users move through the journey

• Testing – Verify that forms are saving data with the correct names

• Learning – Understand how the kit handles data behind the scenes

Where to learn more:

• GOV.UK Prototype Kit: Clear session data

• GOV.UK Prototype Kit: Storing data","working,data-and-logic,no-change"
Views and page templates,"Working | Pages and Layouts

What is this skill?:

A view is the visual template that renders what users see in the browser. In the prototype kit, views are Nunjucks files in the app/views folder that combine HTML, design system components, and dynamic data. Views use template inheritance ('extends') to share common layouts across pages.

Why is it important?:

• Page creation – Views are where you build the actual screens users interact with

• Consistency – All pages automatically share the same layout through inheritance

• Efficiency – Don't repeat header and footer code on every page

• Separation of concerns – Keeping views separate from routes makes code more organised

• Template reuse – Views can extend layouts and include partials

• Maintainability – Change the layout once to update all pages

• Data display – Views receive data from routes and display it dynamically

Where to learn more:

• GOV.UK Prototype Kit: Create pages

• GOV.UK Prototype Kit: Templates and layouts

• Nunjucks: Template inheritance

• Express.js: Using template engines","working,pages-and-layouts,no-change"
WCAG basics for prototypers,"Practitioner | Components and Patterns

What is this skill?:

WCAG (Web Content Accessibility Guidelines) basics involves understanding the core principles of accessibility: Perceivable, Operable, Understandable, and Robust. Knowing these helps you build prototypes that represent accessible services.

Why is it important?:

• Design decisions – Understanding WCAG informs better design choices

• Stakeholder conversations – Explain why certain patterns are required

• Compliance awareness – Know what standards the final service must meet

• Testing focus – Know what to check during prototype reviews

Where to learn more:

• W3C: WCAG 2.1 at a glance

• GOV.UK: Understanding WCAG 2.1

• WebAIM: WCAG 2 checklist

• Deque University: Free courses","practitioner,components-and-patterns,no-change"
What is a macro?,"Working | Components and Patterns

What is this skill?:

A macro is a reusable Nunjucks code block that accepts parameters and outputs HTML. GOV.UK Frontend components are implemented as macros, allowing you to configure them with different options.

Why is it important?:

• Reusability – Write once, use many times with different parameters

• Consistency – Same component looks identical everywhere

• Configuration – Pass different options to customise behaviour

• Foundation – Understanding macros unlocks the full design system

Where to learn more:

• Nunjucks: Macro

• GOV.UK Design System: Using Nunjucks","working,components-and-patterns,no-change"
What is Heroku?,"Practitioner | Setup and Deployment

What is this skill?:

Understanding Heroku means knowing it's a cloud platform that hosts your prototype online, making it accessible to stakeholders and research participants without them needing to run the kit locally.

Why is it important?:

• Remote access – Share prototypes with anyone via a URL

• User research – Conduct research sessions with participants anywhere

• Stakeholder reviews – Let product owners and decision makers see progress

• Password protection – Secure your prototype from public access

Where to learn more:

• GOV.UK Prototype Kit: Publishing on the web

• Heroku: How Heroku works","practitioner,setup-and-deployment,no-change"
What is POST and GET?,"Working | Pages and Layouts

What is this skill?:

POST and GET are HTTP methods that determine how data is sent between the browser and server. GET requests fetch pages, while POST requests submit form data. Understanding these is essential for building interactive prototypes.

Why is it important?:

• Form submissions – POST is used when users submit forms with their answers

• Page navigation – GET is used when users click links or type URLs

• Data handling – Knowing which method to use affects how you access user input

• Correct behaviour – Using the right method ensures your prototype works as expected

Where to learn more:

• GOV.UK Prototype Kit: Pass data from page to page

• MDN Web Docs: HTTP request methods","working,pages-and-layouts,no-change"
What is Routing?,"Working | Pages and Layouts

What is this skill?:

Routing is the mechanism that determines which page to show when a user visits a URL or submits a form. In the prototype kit, routes connect URLs to views and control how users navigate through your prototype.

Why is it important?:

• User journeys – Routes define the paths users take through your service

• Form handling – Routes process form submissions and determine what happens next

• Dynamic content – Routes can pass data to pages, enabling personalised experiences

• Branching logic – Routes enable different paths based on user input

Where to learn more:

• GOV.UK Prototype Kit: Create routes

• Express.js routing basics","working,pages-and-layouts,no-change"
What's in the kit,"Working | Setup and Deployment

What is this skill?:

Understanding what's in the kit means knowing the key files, folders, and how the different parts of the GOV.UK or NHS.UK prototype kit work together. This foundational knowledge helps you navigate and modify your prototype effectively.

Why is it important?:

• Faster orientation – Knowing where things are saves time when building or debugging

• Confident modifications – Understanding the structure helps you make changes without breaking things

• Better collaboration – Team members can work together more effectively with shared knowledge

• Foundation for advanced skills – All other prototyping skills build on this understanding

Where to learn more:

• GOV.UK Prototype Kit: About the kit

• NHS Prototype Kit documentation","working,setup-and-deployment,no-change"
